scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
cold,Global popularity,0,50,0.14922486547310304,,0.4266038353163248,0.1917808219178082,0.15342465753424656,0.15890410958904105,0.15342465753424653,0.02848610372126236,0.06833305344083698,0.11243226673186871,0.15375819904163718,0.8038950987142172
cold,HSTrans,0,50,0.13950324690024624,,0.38199575493231586,0.1506849315068493,0.16438356164383555,0.13972602739726023,0.13242009132420085,0.015652071082089988,0.07146821680298845,0.13083863438683502,0.16035862552005756,0.8023714310119943
cold,CAFNet,1,20,0.18993923519678893,,0.4742431127660334,0.24,0.23733333333333326,0.25600000000000006,0.2364444444444444,0.009317201329929692,0.0455155775667744,0.10455299913508084,0.13442721290014858,0.8030708703108534
cold,A3Net,1,20,0.20295064609144997,,0.5308481712826257,0.3466666666666667,0.2746666666666666,0.268,0.24888888888888877,0.013268297009031137,0.057250753567613576,0.10770187369717704,0.14505667079392728,0.8080160704639965
cold,RF,1,20,0.1104887037566423,,0.3444103630283687,0.013333333333333334,0.14933333333333335,0.14399999999999993,0.13422222222222224,0.0008333333333333334,0.03305828451584856,0.06568631969503197,0.07915164548683487,0.761346227201226
cold,XGBoost,1,20,0.08660900263443864,,0.1452959167557104,0.0,0.056,0.05466666666666666,0.06044444444444445,0.0,0.008186729363619385,0.018491699699142557,0.03202140369019001,0.7437488992762151
cold,Global popularity,1,20,0.2203804135758396,,0.5335740220093577,0.30666666666666664,0.304,0.29333333333333345,0.2737777777777777,0.009836739588447383,0.0612499711913609,0.10821362759407521,0.1540583283687979,0.8450939657329464
cold,HSTrans,1,20,0.21180404633472308,,0.5291976763869264,0.32,0.2933333333333332,0.26666666666666666,0.25155555555555553,0.010823544229158722,0.062042084086525666,0.11239550747354025,0.15305463493922544,0.8511607602448754
cold,CAFNet,1,50,0.14406825639964044,,0.3914410613361545,0.2,0.1893333333333333,0.15999999999999995,0.15733333333333335,0.013589657402967659,0.058276659089169784,0.09642454203271264,0.13081422010692031,0.774201844209602
cold,A3Net,1,50,0.1569825766361161,,0.4493235414912229,0.26666666666666666,0.20533333333333334,0.18533333333333327,0.1733333333333333,0.013211914405427256,0.06931388667804994,0.1265361918466659,0.16495233026353404,0.772860417385682
cold,RF,1,50,0.06997781773425862,,0.1598840182942852,0.013333333333333334,0.058666666666666686,0.06399999999999997,0.06400000000000002,0.0010256410256410256,0.012170050335826063,0.021661183672045472,0.03501234041353896,0.7269703153882314
cold,XGBoost,1,50,0.059756451947280215,,0.07346172902988307,0.0,0.026666666666666665,0.034666666666666665,0.03377777777777779,0.0,0.0030886618207991044,0.0135559132414358,0.020873446686010988,0.7072128292286706
cold,Global popularity,1,50,0.1495489468365616,,0.44624348603773656,0.26666666666666666,0.18666666666666668,0.2133333333333333,0.1946666666666666,0.008544334846257775,0.03489931689174267,0.1046711874949871,0.14239968128569197,0.8172764262570503
cold,HSTrans,1,50,0.16449774339113526,,0.4266953985141489,0.21333333333333335,0.20533333333333337,0.1866666666666666,0.17599999999999993,0.02010496493236814,0.0703198855853277,0.11056006862072211,0.1458756062405851,0.8297041226362176
cold,CAFNet,2,20,0.22490763524056281,,0.5731172144883382,0.3466666666666667,0.32266666666666655,0.3093333333333333,0.30044444444444435,0.012641109229895248,0.05286383950399025,0.09479366635027255,0.13590444151529618,0.7836903882194445
cold,A3Net,2,20,0.23567882717938674,,0.5414342604389498,0.3333333333333333,0.33599999999999997,0.3173333333333333,0.2959999999999998,0.008943754559375931,0.05294826003132171,0.09938124932366993,0.1307209517331505,0.799183340194654
cold,RF,2,20,0.13767831423404614,,0.40870012980419057,0.05333333333333334,0.19199999999999992,0.18666666666666656,0.1795555555555555,0.0018608050198959288,0.023017147167650447,0.047729106986883,0.06889938151825203,0.7615166345565231
cold,XGBoost,2,20,0.11079845960205932,,0.1846308383131364,0.013333333333333334,0.056000000000000015,0.06799999999999998,0.0631111111111111,3.6730945821854914e-05,0.0039178383208257166,0.01614201803764123,0.025865085584811726,0.7376154641211798
cold,Global popularity,2,20,0.26111541370983926,,0.6059727156944525,0.4533333333333333,0.3653333333333333,0.3613333333333333,0.3493333333333332,0.014480295517351761,0.049900743886578766,0.09752265400309833,0.1434208953232962,0.8354234106200212
cold,HSTrans,2,20,0.23457166863576556,,0.565079241185655,0.26666666666666666,0.30399999999999977,0.3080000000000002,0.3057777777777776,0.0058766272585617126,0.044755799405314954,0.09708571384545518,0.1409026349135276,0.8441918581645173
cold,CAFNet,2,50,0.1677592923106487,,0.47504473179730106,0.32,0.23733333333333329,0.23066666666666655,0.21422222222222218,0.016550798629934922,0.04528476412759043,0.09576631190066526,0.13044347020477842,0.7371828947161142
cold,A3Net,2,50,0.1884015381060362,,0.4696878977535524,0.3466666666666667,0.25866666666666654,0.236,0.22311111111111098,0.015105869750986586,0.05582337076716886,0.09885693049619408,0.12964039623325868,0.7525937225298053
cold,RF,2,50,0.09358093130400953,,0.1836868787455333,0.02666666666666667,0.09333333333333335,0.0813333333333333,0.08088888888888891,0.0006195111399524119,0.010211141771151701,0.02131588352635155,0.029688719349527368,0.7204247513569975
cold,XGBoost,2,50,0.08143393269660537,,0.09189544840077196,0.013333333333333334,0.018666666666666665,0.038666666666666676,0.040000000000000015,3.980099502487562e-05,0.0019187913963264421,0.004856648771210313,0.015118090831944441,0.6926646445698353
cold,Global popularity,2,50,0.18666711513412634,,0.4759037088576339,0.32,0.23199999999999998,0.25600000000000006,0.2515555555555554,0.011183763446416568,0.03236594613963224,0.07958151119201438,0.12283821191432848,0.8012701558329095
cold,HSTrans,2,50,0.17935479884822247,,0.449388230637706,0.21333333333333335,0.23999999999999996,0.24666666666666676,0.2284444444444444,0.005467438057813505,0.03979550899838853,0.10761017325800033,0.13434777404094533,0.8154257184607048
cold,CAFNet,3,20,0.16167542619617392,,0.45993153559846883,0.28378378378378377,0.22972972972972974,0.22972972972972977,0.20540540540540533,0.009595418180338627,0.0510007398957865,0.1021847343309781,0.14085009415880637,0.7993877744067464
cold,A3Net,3,20,0.17502513901610628,,0.49928598327286566,0.3108108108108108,0.21891891891891882,0.1932432432432432,0.2009009009009009,0.024838980361963577,0.062278655645181605,0.1160978914162087,0.16215876660160022,0.7964875014788481
cold,RF,3,20,0.09084299696725394,,0.2811961266060167,0.02702702702702703,0.11081081081081084,0.10675675675675672,0.0981981981981982,0.0006816200364587461,0.028420809056797298,0.05230361254337513,0.07518608666378566,0.7555615018994353
cold,XGBoost,3,20,0.0690889523736301,,0.10746151839796328,0.0,0.04324324324324326,0.03378378378378379,0.02972972972972973,0.0,0.025220897587810872,0.02893414982794461,0.03636431651158654,0.7322116369458722
cold,Global popularity,3,20,0.18212977670461608,,0.500738189406708,0.33783783783783783,0.2513513513513513,0.24459459459459465,0.236036036036036,0.013019110193335352,0.05787077634539421,0.10687054771468212,0.15111092965770342,0.83153970892802
cold,HSTrans,3,20,0.17858538702945484,,0.49280052912655936,0.22972972972972974,0.2378378378378377,0.21351351351351347,0.20270270270270271,0.019486178488192868,0.06068876782570933,0.0959313757742184,0.13410977502370725,0.8429707597267826
cold,CAFNet,3,50,0.11591012946640507,,0.33938956674997145,0.14864864864864866,0.17027027027027025,0.15675675675675674,0.13693693693693693,0.005454022092740245,0.04020739070358492,0.10580404984822711,0.1284875853483719,0.7636705129800458
cold,A3Net,3,50,0.12617481934667707,,0.40231845358536933,0.1891891891891892,0.14324324324324325,0.1472972972972973,0.14234234234234233,0.016915836267365852,0.05257902801421049,0.1244249174135056,0.14832847940085428,0.7555995665837683
cold,RF,3,50,0.05827081245358859,,0.10121886836255019,0.0,0.032432432432432434,0.035135135135135144,0.03333333333333333,0.0,0.005876480297350213,0.03196459168341235,0.04118324888800305,0.7179749077379132
