scenario,model,fold,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15,Spearman,RMSE,MAE,pearson,drugAUC,drugAUPR,P5,P10,R5,R10,seconds,auc_rank
Warm start,XGBoost,2,0.0551330162172825,0.8163038364391746,0.0277188614154822,0.1778214277186434,0.0351145038167938,0.0352162849872772,0.0134608272394531,0.1244927275407298,0.3017827963373834,1.710935603542754,1.4991084179542598,0.3076642463849423,0.7925756145105012,0.0558566134214118,0.055267175572519,0.0398473282442749,0.0710672482170703,0.0944164176363066,8.9,
Warm start,XGBoost,3,0.0597011013772972,0.8226380388209454,0.0290801037064137,0.1849948997604661,0.0291411042944785,0.0387525562372187,0.0068029189426435,0.1363958400541811,0.3170837251317974,1.6767371910060398,1.4669181640383495,0.3267420705756205,0.7972795157697403,0.0603415064755542,0.0638036809815951,0.0438650306748467,0.0804715710945469,0.1059846701214262,9.28,
Warm start,XGBoost,4,0.0537417889687938,0.817441846647194,0.0263879434617125,0.1611327017419304,0.0292758089368258,0.0326656394453003,0.0088460268545014,0.1237605823723282,0.2965646738022471,1.6921634423013343,1.4839506584110127,0.3002339351595714,0.7797802721638715,0.0545386817636691,0.0486902927580892,0.0366718027734977,0.0698531463067663,0.0997579938792857,9.14,
Warm start,XGBoost,5,0.0563489990219747,0.8165601697992945,0.0246543730905542,0.1682202737394346,0.0307692307692307,0.0325128205128204,0.0106144552703257,0.1343247364501606,0.3167976912424294,1.696676305034884,1.4853480025531147,0.3224327980883883,0.7916656962857929,0.0569472477296121,0.0538461538461537,0.036,0.0807329210479689,0.1041002254881979,9.05,
Warm start,XGBoost,6,0.0599173043904509,0.8218861925250917,0.0269888966768867,0.1670080672366554,0.0372093023255813,0.0328682170542635,0.0121585733795036,0.1200458675145083,0.3271002594840853,1.6872213485015106,1.4833003844193784,0.3298804906161713,0.7969059842326568,0.0605433277617828,0.0524031007751937,0.0367441860465117,0.0768938265306873,0.0977384049266867,10.05,
Warm start,XGBoost,7,0.060106329373357,0.820474025740682,0.0281771840579998,0.1741381346743576,0.0340557275541795,0.0334365325077398,0.0133688564878832,0.1308921360494188,0.3149532619672758,1.68744987852886,1.4745294794263448,0.3208170163862333,0.7914664233506102,0.060750918385177,0.0523219814241485,0.0380804953560372,0.0775192578438815,0.1041147413665851,12.4,
Warm start,XGBoost,8,0.0642823143845898,0.8257585787199139,0.0303835005588998,0.2102538970335213,0.0510835913312693,0.0372549019607842,0.0138221808511246,0.1297534775652205,0.2919405038905393,1.6803647873031249,1.4740885060839155,0.2916610878633823,0.8032781467295397,0.0649356802671375,0.0662538699690402,0.0447368421052632,0.0792300929944333,0.1072309694838228,9.81,
Warm start,XGBoost,9,0.0579027204455056,0.8159372634758406,0.0256081114903606,0.1826821393772327,0.0514018691588785,0.0331256490134994,0.0188475267260138,0.11827730260863,0.3233297994179219,1.669490718004019,1.4584766287083688,0.3297922148926168,0.7968809286208159,0.0584657237922123,0.0498442367601244,0.0384735202492212,0.065055251443882,0.0976165788709343,9.82,
Cold start,RF,0,0.1810407920012641,0.7593217433710582,0.1382010229722253,0.6538877423536081,0.56,0.2284444444444442,0.0258979488589064,0.131929490859966,0.337274620907092,1.996289856429118,1.7314238577988288,0.3287492439378318,0.8030366782085394,0.1851250334436815,0.3413333333333332,0.2693333333333334,0.0688452128296824,0.1074603729901065,7.3,0.7998070716180375
Cold start,RF,1,0.1892355385320718,0.7718421979552212,0.1495485177884641,0.6946713102690997,0.44,0.2719999999999999,0.0144124307908747,0.1320648390794052,0.3631617291605993,1.7901495902342743,1.529834514921857,0.3554572440387362,0.812905261294261,0.1933663708474205,0.3866666666666667,0.3026666666666669,0.0658303008379873,0.102310140777295,7.14,0.8095750351832824
