drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
92,CAFNet,frequent,0.5352212291095517,0.9148568823583791,0.9333333333333333,0.2641509433962264
93,CAFNet,rare,0.12484848484848485,0.1208113026994942,0.13333333333333333,0.4
93,CAFNet,middle,0.03927553927553928,0.0,0.0,0.0
93,CAFNet,frequent,0.5642596062251367,0.6235540477207573,0.6666666666666666,0.23809523809523808
94,CAFNet,rare,,,,
94,CAFNet,middle,,,,
94,CAFNet,frequent,0.5132961570161598,0.6311443278613472,0.7333333333333333,0.5
95,CAFNet,rare,,,,
95,CAFNet,middle,,,,
95,CAFNet,frequent,0.06583676671077429,0.0,0.0,0.0
96,CAFNet,rare,0.12911945737080244,0.20483424751859092,0.13333333333333333,0.2
96,CAFNet,middle,0.039157086512593184,0.0,0.0,0.0
96,CAFNet,frequent,0.6588408706764516,0.8572048559638626,0.8,0.2553191489361702
97,CAFNet,rare,0.016466070970514616,0.0,0.0,0.0
97,CAFNet,middle,0.22043803634507877,0.22400556151517556,0.13333333333333333,0.034482758620689655
97,CAFNet,frequent,0.5498976859649944,0.6136525857537394,0.6,0.09375
98,CAFNet,rare,0.01884686553638198,0.0,0.0,0.0
98,CAFNet,middle,0.1899853331838721,0.2816575879096919,0.3333333333333333,0.13157894736842105
98,CAFNet,frequent,0.6248591228575027,0.7215194105726963,0.8,0.12903225806451613
99,CAFNet,rare,0.010089787774351534,0.0,0.0,0.0
99,CAFNet,middle,0.009071150766415008,0.0,0.0,0.0
99,CAFNet,frequent,0.42763730483597373,0.3405196929097572,0.4666666666666667,0.2916666666666667
100,CAFNet,rare,0.016335474333230755,0.0,0.0,0.0
100,CAFNet,middle,0.06015057322110054,0.09478836436955079,0.06666666666666667,0.1
100,CAFNet,frequent,0.6139684368096736,0.8006937664098821,0.8,0.2608695652173913
101,CAFNet,rare,0.03823492513692355,0.11305340175787204,0.06666666666666667,0.2
101,CAFNet,middle,0.08745162704790034,0.09162544430476362,0.06666666666666667,0.14285714285714285
101,CAFNet,frequent,0.7134067757171157,0.9052116356304495,0.8666666666666667,0.43333333333333335
102,CAFNet,rare,0.018867924528301886,0.0,0.0,0.0
102,CAFNet,middle,0.02581153769476138,0.0,0.0,0.0
102,CAFNet,frequent,0.37601809827643196,0.3132848169017409,0.5333333333333333,0.2962962962962963
103,CAFNet,rare,0.004405286343612335,0.0,0.0,0.0
103,CAFNet,middle,0.06669322525300786,0.0,0.0,0.0
