model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
CAFNet-D + ATC kNN k=20 beta=0.3,0.3827666574065721,0.182569815223557,750,0.5862987034394108,0.2906026164179584,750,0.4929777777777778,0.276167840741286,750,0.25424484574801864,0.17457610596939752,750
CAFNet-D + ATC kNN k=20 beta=0.5,0.3709991959770614,0.18108634113660949,750,0.5718266875684168,0.29102274703016806,750,0.47973333333333334,0.27239277208024554,750,0.24709844084488705,0.17340099500512754,750
CAFNet-D + ATC kNN k=20 beta=0.8,0.3603277748292774,0.1788206977644327,750,0.5582203047396443,0.29072752593030377,750,0.4693333333333333,0.26926636664334963,750,0.24114932060683103,0.17111780557553422,750
CAFNet-D + ATC kNN k=20 beta=1.0,0.3553971024169,0.17796381648941365,750,0.5531875533490258,0.2908874071850142,750,0.4648888888888889,0.2693618436207947,750,0.23844060676920292,0.17100433351164276,750
CAFNet-D + ATC kNN k=5 beta=0.05,0.4018670250329041,0.1846649149019394,750,0.6148723822720988,0.29339829825855024,750,0.5185777777777778,0.28174187109217425,750,0.2696958273464778,0.18017513575196573,750
CAFNet-D + ATC kNN k=5 beta=0.1,0.392732174813621,0.1824847250708105,750,0.600448432803526,0.293210114378936,750,0.5074666666666667,0.2786801282034854,750,0.2635622842739556,0.1784442125096369,750
CAFNet-D + ATC kNN k=5 beta=0.2,0.3760101068423707,0.1791083348141449,750,0.5783519221323968,0.2944722948476334,750,0.4857777777777778,0.27429419253738124,750,0.24974879516477314,0.17177871152410215,750
CAFNet-D + ATC kNN k=5 beta=0.3,0.364031206973259,0.17690648269262851,750,0.5614537423540535,0.2944510145780707,750,0.47093333333333337,0.26880460292327024,750,0.24122666851544158,0.1673168629103802,750
CAFNet-D + ATC kNN k=5 beta=0.5,0.3489272695426728,0.17455403345111342,750,0.5388984241845806,0.2915642776221551,750,0.45520000000000005,0.26605193943212874,750,0.23194231595136194,0.16455869626548328,750
CAFNet-D + ATC kNN k=5 beta=0.8,0.33722726355942345,0.17242453705709682,750,0.5262238017079012,0.2902590366841543,750,0.4399111111111112,0.26236176605291894,750,0.22368101317385528,0.16057607234069018,750
CAFNet-D + ATC kNN k=5 beta=1.0,0.33260617853562907,0.17153136997246615,750,0.5199632538452403,0.2893591592230811,750,0.43528888888888895,0.262346566984447,750,0.2205911545254484,0.159174097935873,750
CAFNet-D + ATC kNN k=50 beta=0.05,0.405881044458523,0.18598522398923523,750,0.6211936799963974,0.29243844179154094,750,0.5222222222222224,0.28378695242524815,750,0.2719243524367109,0.18231158122489413,750
CAFNet-D + ATC kNN k=50 beta=0.1,0.40153903798340973,0.18524898737521853,750,0.6127819775412062,0.29259484142041287,750,0.5152888888888889,0.28185553682415304,750,0.26790779648740465,0.18037044961269635,750
CAFNet-D + ATC kNN k=50 beta=0.2,0.39264144332513895,0.18352250027664754,750,0.5997751883354535,0.292900784326316,750,0.5022222222222222,0.2799608621921871,750,0.259940505917845,0.17869442586717033,750
CAFNet-D + ATC kNN k=50 beta=0.3,0.38510563607623743,0.18226706430822703,750,0.5895454383073994,0.2905161049768035,750,0.49466666666666664,0.27648481162746263,750,0.2556626011478233,0.17569595398665655,750
CAFNet-D + ATC kNN k=50 beta=0.5,0.3737362618207951,0.18171198509808237,750,0.5743832439991399,0.2907037545436605,750,0.4822222222222223,0.2732190830797654,750,0.24854925040160503,0.17217970418252307,750
CAFNet-D + ATC kNN k=50 beta=0.8,0.36420274869533836,0.1797443944884999,750,0.5620699616254412,0.2889578197701093,750,0.4734222222222223,0.27095241719154556,750,0.24351734432547273,0.17027100801525083,750
CAFNet-D + ATC kNN k=50 beta=1.0,0.3596905895995845,0.17893870965002673,750,0.5573679437770295,0.29000614707625905,750,0.46871111111111113,0.2704262643245524,750,0.24091616906828017,0.1707213273131414,750
CAFNet-D + ATC+target kNN k=10 beta=0.05,0.40371248940029275,0.18551172408444136,750,0.6167132336469799,0.29313585820185695,750,0.5203555555555556,0.28290122463968875,750,0.2703199819536161,0.1807936299357615,750
CAFNet-D + ATC+target kNN k=10 beta=0.1,0.3971160615585995,0.18428178618425098,750,0.6067018302173879,0.2947921826614001,750,0.5125333333333333,0.2818022402253999,750,0.26568001359871196,0.1795386256529535,750
CAFNet-D + ATC+target kNN k=10 beta=0.2,0.3840835417470268,0.18177135024224222,750,0.5879391550880361,0.2936066925291038,750,0.49635555555555555,0.2790330078554819,750,0.25480423338021435,0.17324949287717903,750
