drug_idx,fold,group,model,AP,nDCG@10,P@15,R@15
3,5,frequent,CAFNet-D,0.1314134969671209,0.18844415212771543,0.2,0.23076923076923078
3,5,frequent,CAFNet,0.12268264510187853,0.13886244387355456,0.13333333333333333,0.15384615384615385
3,5,frequent,A3Net,0.09042941591280883,0.06943122193677728,0.06666666666666667,0.07692307692307693
3,5,frequent,CAFNet-D w/o association residual,0.1756544380839621,0.2832325164972662,0.2,0.23076923076923078
3,5,frequent,CAFNet-D w/o bias/popularity prior,0.20307706845259935,0.31833954895937194,0.2,0.23076923076923078
3,5,frequent,Global popularity,0.2602033133610592,0.400023248309252,0.2,0.23076923076923078
3,5,frequent,HSTrans100,0.25097672047732933,0.400023248309252,0.2,0.23076923076923078
4,8,rare,CAFNet-D,,,,
4,8,rare,CAFNet,,,,
4,8,rare,A3Net,,,,
4,8,rare,CAFNet-D w/o association residual,,,,
4,8,rare,CAFNet-D w/o bias/popularity prior,,,,
4,8,rare,Global popularity,,,,
4,8,rare,HSTrans100,,,,
4,8,mid,CAFNet-D,,,,
4,8,mid,CAFNet,,,,
4,8,mid,A3Net,,,,
4,8,mid,CAFNet-D w/o association residual,,,,
4,8,mid,CAFNet-D w/o bias/popularity prior,,,,
4,8,mid,Global popularity,,,,
4,8,mid,HSTrans100,,,,
4,8,frequent,CAFNet-D,0.35064935064935066,0.3975541925452007,0.4,0.8571428571428571
4,8,frequent,CAFNet,0.4685423785489618,0.661798907637971,0.3333333333333333,0.7142857142857143
4,8,frequent,A3Net,0.35373376623376623,0.3226323993355606,0.26666666666666666,0.5714285714285714
4,8,frequent,CAFNet-D w/o association residual,0.39275759084121453,0.44967985513709063,0.4,0.8571428571428571
4,8,frequent,CAFNet-D w/o bias/popularity prior,0.23985822399135096,0.322064920301233,0.2,0.42857142857142855
4,8,frequent,Global popularity,0.4087079587079587,0.5349923590023462,0.3333333333333333,0.7142857142857143
4,8,frequent,HSTrans100,0.21298662412607408,0.2558209594125084,0.13333333333333333,0.2857142857142857
5,8,rare,CAFNet-D,0.019038487777644254,0.0,0.0,0.0
5,8,rare,CAFNet,0.030159364802429648,0.0,0.0,0.0
5,8,rare,A3Net,0.007496687222559819,0.0,0.0,0.0
5,8,rare,CAFNet-D w/o association residual,0.03526800304009121,0.0,0.0,0.0
5,8,rare,CAFNet-D w/o bias/popularity prior,0.0387663336383974,0.0,0.06666666666666667,0.25
5,8,rare,Global popularity,0.022517350992698026,0.15101961822780524,0.06666666666666667,0.25
5,8,rare,HSTrans100,0.014922257734445391,0.0,0.0,0.0
5,8,mid,CAFNet-D,0.16170559016856711,0.2122263659729146,0.2,0.23076923076923078
5,8,mid,CAFNet,0.1324428488817109,0.1100458831490401,0.13333333333333333,0.15384615384615385
5,8,mid,A3Net,0.144478688351246,0.06625422345438904,0.2,0.23076923076923078
5,8,mid,CAFNet-D w/o association residual,0.1659501655304096,0.25787537406449274,0.26666666666666666,0.3076923076923077
5,8,mid,CAFNet-D w/o bias/popularity prior,0.07722263923618745,0.0,0.0,0.0
5,8,mid,Global popularity,0.05782026973205891,0.0,0.0,0.0
5,8,mid,HSTrans100,0.03704050355430807,0.0,0.0,0.0
5,8,frequent,CAFNet-D,0.6163976670770552,0.8603818544462509,0.7333333333333333,0.28205128205128205
5,8,frequent,CAFNet,0.539947835649247,0.7720617383222419,0.6,0.23076923076923078
5,8,frequent,A3Net,0.5475393926645454,0.9337457765456111,0.7333333333333333,0.28205128205128205
5,8,frequent,CAFNet-D w/o association residual,0.5199975723275718,0.7720617383222419,0.6666666666666666,0.2564102564102564
5,8,frequent,CAFNet-D w/o bias/popularity prior,0.49560778852901205,0.77523873680463,0.6666666666666666,0.2564102564102564
5,8,frequent,Global popularity,0.5264627606115796,0.9216017310213247,0.7333333333333333,0.28205128205128205
5,8,frequent,HSTrans100,0.4338028345750458,0.6870165078530993,0.5333333333333333,0.20512820512820512
6,0,rare,CAFNet-D,0.008469222866154497,0.0,0.0,0.0
6,0,rare,CAFNet,0.010943914760777166,0.0,0.0,0.0
6,0,rare,A3Net,0.01919685199168071,0.0,0.0,0.0
6,0,rare,CAFNet-D w/o association residual,0.014095426225849129,0.0,0.0,0.0
6,0,rare,CAFNet-D w/o bias/popularity prior,0.00815775151429664,0.0,0.0,0.0
6,0,rare,Global popularity,0.014122763337404013,0.0,0.0,0.0
6,0,rare,HSTrans100,0.016090613343358113,0.0,0.0,0.0
