fold,rho,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP
5,0.5,0.9299698318833414,0.11861426493440144,712137,3708,650,0.2614347337949448,0.3266792446072114,0.32769230769230767,0.1316923076923077,0.4427726809671926,0.13040745125102032,0.16453126951619834,0.2977090792704116,0.16092825694996188
5,0.6,0.9277947262597237,0.12075936099712625,712137,3708,650,0.25834946699183636,0.32627051933238177,0.3292307692307692,0.1332307692307692,0.44615431909204456,0.12745608072334935,0.15827656861943,0.29478818664781986,0.16075975395771905
5,0.7,0.9248307138592086,0.12049241502477245,712137,3708,650,0.2528882322822224,0.31997820397554355,0.32461538461538464,0.13353846153846152,0.44166849122987023,0.12480081439380875,0.14812569696437158,0.28895533451689837,0.15746589004820266
5,0.8,0.9210509778201165,0.11730851705826825,712137,3708,650,0.24923302833491082,0.315890178608005,0.3261538461538461,0.12912820512820514,0.42242337279943637,0.126321868870091,0.14391242233334706,0.2854711530807395,0.14540101788625864
5,0.9,0.9164267063093918,0.11152999625340684,712137,3708,650,0.24361221485839177,0.3125706897453359,0.32461538461538464,0.12502564102564104,0.40742274261804884,0.12525291114363765,0.13785490635256475,0.27927312039515956,0.128392464656268
5,1.0,0.910912549084195,0.10359413398604973,712137,3708,650,0.23643407143511766,0.30489856691352163,0.3261538461538461,0.12123076923076925,0.3901334100938821,0.11078603209893226,0.11492146575662736,0.2711936027114416,0.10100310937740477
6,0.0,0.9134063023246007,0.09136542782726259,712137,3708,645,0.22009104061635976,0.2765324300740942,0.24031007751937986,0.11844961240310076,0.4142037324437748,0.11653382164916407,0.1683776441945278,0.25212871683376303,0.13934985947004333
6,0.1,0.920223734321065,0.09778583310656613,712137,3708,645,0.23049553872443715,0.2909972892956689,0.25426356589147286,0.12341085271317828,0.42465258727892996,0.120358631142528,0.17415377553289269,0.2636573216673744,0.13853911396623486
6,0.2,0.9244897170811652,0.1047906603206255,712137,3708,645,0.23884559206307493,0.3017233262193189,0.289922480620155,0.12661498708010335,0.4294294559811212,0.12605587530827064,0.18234613711518194,0.2744781285185927,0.14016085503636047
6,0.3,0.926448899268633,0.11273909808140861,712137,3708,645,0.24749263929511767,0.31479941515746984,0.3209302325581395,0.12899224806201548,0.43416636741719405,0.1265868394927761,0.18748829010441395,0.28280948258506056,0.14194920963440014
6,0.4,0.9266738563219491,0.12037298792613803,712137,3708,645,0.2557111326706911,0.3255470347415848,0.3364341085271318,0.13198966408268734,0.4366363955098841,0.12574290592452514,0.186771805758659,0.29207712497849414,0.14199890538465573
