scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
cold,HMMF-regenerated,2,0.8704601830511528,0.3873883457243459,74550,4941,75,0.4337377572311594,0.652136274968572,0.7466666666666667,0.5973333333333334,0.22796729962961762,0.5238288997079508,0.9049815980541285,0.6507422835889362,0.3656904350808462,0.9261283141064561,4941.0
cold,HMMF-regenerated,3,0.8705275157159684,0.27324476118772684,74550,3098,75,0.369521384042873,0.5531851283475329,0.6666666666666666,0.4453333333333333,0.2644296715572704,0.5538919927738045,0.7823997153881652,0.583385869254598,0.4053089921961053,0.9444803098773402,3098.0
cold,HMMF-regenerated,4,0.867452515413193,0.3369458953778599,74550,2835,75,0.38716662133378876,0.5789141829989595,0.56,0.512888888888889,0.27090861936895577,0.40003354711597566,0.9045571629318038,0.6511514144389507,0.23699119321232942,0.91005291005291,2835.0
cold,HMMF-regenerated,5,0.8730740544731859,0.3938806914675582,74550,4453,75,0.389671906877345,0.5922059162528139,0.72,0.5075555555555555,0.22078482596634597,0.5886748000914162,0.7965028921662076,0.5903770194518386,0.45864567412367074,0.9407141253087806,4453.0
cold,HMMF-regenerated,6,0.881630029541449,0.43139653367726416,74550,4083,75,0.4079710977891907,0.6075275602575385,0.6533333333333333,0.512888888888889,0.24686701348184054,0.6061924245613144,0.7752659472913856,0.5923464404815498,0.45390730425466164,0.9507714915503307,4083.0
cold,HMMF-regenerated,7,0.8796351868471519,0.4355836818459802,74550,4023,75,0.3641652180496878,0.5448418085252509,0.5733333333333334,0.4755555555555555,0.23582270315472362,0.6224401412148162,0.740073006300795,0.5505498336258143,0.4981625278317675,0.9550086999751429,4023.0
cold,HMMF-regenerated,8,0.8517594970217152,0.28692435246699194,74550,3088,75,0.3634106840336079,0.5350977599205362,0.6133333333333333,0.45599999999999996,0.2550603436148727,0.5375131473179258,0.8986999570159284,0.6516032154850392,0.3363090131974309,0.8976683937823834,3088.0
cold,HMMF-regenerated,9,0.8893501799573093,0.4122433950263992,74550,4204,75,0.4198496262778501,0.6114244558010727,0.7733333333333333,0.5048888888888889,0.2873659570138564,0.5759853606400412,0.7280473762117617,0.5624717012061946,0.4312678114474082,0.9586108468125595,4204.0
cold,HSTrans,0,0.8200538800843821,0.22663832291594926,74550,2889,75,0.35169539065275973,0.5141031176295757,0.56,0.44177777777777766,0.2618898471762721,0.37157678873681343,1.855452150407331,1.4753039524335687,0.18737603488972654,0.5974385600553825,2889.0
cold,HSTrans,1,0.8384807538863575,0.29803427704736785,74550,3457,75,0.38366757477853397,0.5936608012033728,0.7466666666666667,0.5031111111111112,0.24539482308256733,0.28904260768315676,1.474436899067195,1.1105822207374374,0.21751882734670624,0.7344518368527625,3457.0
cold,HSTrans,2,0.7709945042460536,0.26797381288982663,74550,4941,75,0.4067700165278019,0.6365288837725793,0.7066666666666667,0.568888888888889,0.2150084031702738,0.3530066971635837,1.8033773839920235,1.4645997538983195,0.19101390579560962,0.6172839506172839,4941.0
cold,HSTrans,3,0.794749863361796,0.23552084349052116,74550,3098,75,0.368807270859225,0.5646692953366926,0.64,0.4568888888888889,0.27145070519337483,0.3687220002615829,2.1274597582771992,1.7791052559093652,0.15845384332169,0.4954809554551323,3098.0
cold,HSTrans,4,0.8441780558724946,0.2879370343256369,74550,2835,75,0.390017267767449,0.6043369061569944,0.6933333333333334,0.5164444444444445,0.2832538289789895,0.25104100307309485,2.0328326509630896,1.62098727993654,0.14566536717132705,0.5611992945326278,2835.0
cold,HSTrans,5,0.7762530668699852,0.24846266803921396,74550,4453,75,0.362306046975246,0.5793581305084413,0.5866666666666667,0.5075555555555556,0.22898511923702405,0.4480365330822061,1.6738822590176208,1.3176985026851493,0.28656290990169975,0.6552885695037054,4453.0
cold,HSTrans,6,0.7910146795375609,0.258377849650525,74550,4083,75,0.3795313961890487,0.5975458385247583,0.6666666666666666,0.5004444444444445,0.23925591128005433,0.393007583581178,1.9289911268731164,1.5909172698416083,0.2006072106415241,0.5753122703894196,4083.0
cold,HSTrans,7,0.8039767462686841,0.23930598117243415,74550,4023,75,0.33871829840160356,0.5194792086469294,0.5733333333333334,0.4524444444444444,0.22708693090849194,0.4152171156780163,1.5693407467260554,1.2102023324230744,0.29108806334743587,0.7243350733283619,4023.0
cold,HSTrans,8,0.8087566249565151,0.23944695448505887,74550,3088,75,0.34674622991043236,0.5426437676388304,0.68,0.44444444444444436,0.24848111613513832,0.3461895734112267,1.9765684095341605,1.5976872854899866,0.20179632721270768,0.5602331606217616,3088.0
cold,HSTrans,9,0.7730079583793285,0.2563218579616903,74550,4204,75,0.40694919143638686,0.6264205752240652,0.7333333333333333,0.5120000000000001,0.28501114285348483,0.39676603742704614,1.8486258310340022,1.4781980097513614,0.21991001780240294,0.60941960038059,4204.0
cold,RF,0,0.7593217433710582,0.1382010229722253,74550,2889,75,0.1851250334436815,0.3074853813581922,0.3733333333333333,0.231111111111111,0.1388259004817627,0.337274620907092,1.996289856429118,1.7314238577988288,0.1225812605917234,0.4347525095188647,2889.0
cold,RF,1,0.7718421979552212,0.1495485177884641,74550,3457,75,0.1933663708474205,0.3343967620467876,0.1866666666666666,0.2693333333333333,0.1294439146334698,0.3631617291605993,1.7901495902342743,1.529834514921857,0.159085859472199,0.5099797512293897,3457.0
cold,RF,2,0.7672392555067814,0.2141127298553451,74550,4941,75,0.22161099917513,0.3939556776045658,0.32,0.3208888888888888,0.1081829949524476,0.2857810263901655,1.8829705555530625,1.6028866844243836,0.1209674073257104,0.5035417931592795,4941.0
cold,RF,3,0.7554990959091951,0.1365584231381193,74550,3098,75,0.190780664728834,0.3333279290794936,0.2266666666666666,0.2497777777777777,0.1510243850974545,0.3587655707714997,1.934888402856072,1.6661940849812436,0.1418894929079024,0.4790187217559716,3098.0
cold,RF,4,0.7833101116375187,0.162322976593708,74550,2835,75,0.191222744866845,0.3549769000369454,0.24,0.2551111111111111,0.1355430490722037,0.2779046349586748,1.9708490877213676,1.6839961132123358,0.1156352878369961,0.4740740740740741,2835.0
cold,RF,5,0.6984842690524564,0.1453509057727444,74550,4453,75,0.1966111379334598,0.3384558114594106,0.3066666666666666,0.2595555555555556,0.1054619749836397,0.4242385073904084,1.9604463422571892,1.7106473278400671,0.1587648807212967,0.4704693465079722,4453.0
