scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
cold,XGBoost,5,10,0.108752399937483,,0.2213778797763222,0.013333333333333334,0.0986666666666667,0.08666666666666667,0.08533333333333334,3.445305770887166e-05,0.00926362611866972,0.01813828623778474,0.030965706171656986,0.7211092351201331
cold,Global popularity,5,10,0.2957865342983297,,0.7082868053788602,0.4666666666666667,0.4453333333333333,0.42266666666666675,0.39733333333333326,0.02496624136663027,0.0965952384886505,0.15376246619787276,0.20199995193511014,0.8289226954068332
cold,HSTrans,5,10,0.22290024491232274,,0.5655487171038357,0.30666666666666664,0.3253333333333332,0.3080000000000003,0.304,0.01009153444999081,0.04773685711159441,0.09780850938141492,0.13688154849204853,0.7937944836227824
cold,CAFNet,5,20,0.22309178186268472,,0.5432408119825959,0.3918918918918919,0.31351351351351336,0.2972972972972973,0.2882882882882882,0.022707400609884763,0.06087984505501691,0.1041352726858122,0.14565887986318105,0.7675208253952062
cold,A3Net,5,20,0.19240043354386502,,0.4280576122204389,0.16216216216216217,0.24864864864864858,0.2581081081081081,0.25945945945945936,0.003141036644653634,0.04408688080773661,0.0804391076339715,0.1233684578708486,0.7622882169884962
cold,RF,5,20,0.11310774097781659,,0.2906208397194168,0.02702702702702703,0.11351351351351356,0.11351351351351346,0.12612612612612611,0.0005183755183755184,0.02278108156948289,0.033885156486679266,0.053866210874018404,0.7288304798090564
cold,XGBoost,5,20,0.0918500229806166,,0.18217546615741295,0.013513513513513514,0.056756756756756774,0.060810810810810814,0.05765765765765768,3.5750035750035746e-05,0.006113406036966935,0.012445544813343506,0.019007518749541336,0.6912642735016772
cold,Global popularity,5,20,0.22368293542696824,,0.5632000043344098,0.3783783783783784,0.3513513513513513,0.32972972972972964,0.31441441441441437,0.011351291147624584,0.05936889557818261,0.10306735095194959,0.1476988230914942,0.8047420979340592
cold,HSTrans,5,20,0.18019655814711955,,0.4746741772868256,0.24324324324324326,0.26756756756756755,0.25405405405405407,0.24054054054054055,0.006255376726305317,0.03655983636161156,0.07483174620277507,0.10645724283247714,0.7678225047394879
cold,CAFNet,5,50,0.178603812328756,,0.49214433464285773,0.3013698630136986,0.26849315068493146,0.22739726027397258,0.20639269406392688,0.026983972819557406,0.07120366675771563,0.11922347790859954,0.15368935814108742,0.7251080684659461
cold,A3Net,5,50,0.13646171313973976,,0.3617300702170655,0.1780821917808219,0.15342465753424658,0.17671232876712326,0.1771689497716895,0.004904310560788107,0.024999780495881283,0.06745015926395707,0.11317963055739645,0.7198562555780882
cold,RF,5,50,0.07744817153971839,,0.16143423603571447,0.0136986301369863,0.04931506849315069,0.06712328767123288,0.06392694063926942,3.925108921772579e-05,0.007316098950557906,0.021612632155384007,0.035814551318324145,0.6859549305812572
cold,XGBoost,5,50,0.06689658273422512,,0.07853602539209817,0.0136986301369863,0.024657534246575342,0.03013698630136987,0.02465753424657534,3.925108921772579e-05,0.0026903171426723277,0.007946953208466619,0.010796710306581535,0.643283149308855
cold,Global popularity,5,50,0.14767016209691772,,0.3992449455830919,0.2328767123287671,0.19726027397260265,0.20410958904109583,0.19452054794520546,0.0042841551730924445,0.031032478003886737,0.06587583139588458,0.0925865865096079,0.7680483055801205
