fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
9,114,Drug-stratum gate,0.2687407470831755,0.42492601381667106,,0.02627105221477219,0.34899409241970697
9,115,CAFNet,0.5503772036294071,1.0,0.29408095783903576,0.29991375886856636,0.7725359062895458
9,115,CAFNet-D,0.6208822324861945,1.0,0.28976163567088503,0.3196752132723367,0.7483859209590707
9,115,CAFNet-DG,0.6410459093113593,1.0,0.3179093906948677,0.3421140850464691,0.7761310625519167
9,115,Group-only,0.6690145923886812,1.0,0.28528576857713034,0.36938492644045,0.7865126607670698
9,115,Global gate,0.7264517573808265,1.0,0.31328462223075215,0.4789237396327446,0.8399003149538109
9,115,Drug gate,0.6907326080761612,1.0,0.23380051134428093,0.4401722261567858,0.8235421455447913
9,115,Drug-stratum gate,0.7159612190800259,1.0,0.2582272073985372,0.4615335634911719,0.832053176772634
9,119,CAFNet,0.4598552202369711,0.835780413693672,0.10952380952380952,0.03120982161265902,0.5417807427169087
9,119,CAFNet-D,0.6306709975990359,1.0,0.09166666666666667,0.07378243256387,0.6879690542745602
9,119,CAFNet-DG,0.5951742177029469,1.0,0.14347826086956522,0.051146616541353385,0.6544919908745859
9,119,Group-only,0.6280721050739483,1.0,0.15263157894736842,0.07340969504984762,0.6853359911255609
9,119,Global gate,0.6155239132917628,0.9266360779006398,0.13246268656716417,0.03470484439229209,0.6772568253876318
9,119,Drug gate,0.5865490032579522,0.9266360779006398,0.16666666666666669,0.03707013626054105,0.6450883226239617
9,119,Drug-stratum gate,0.6093903231472266,0.9216017310213245,0.30952380952380953,0.016729852303332154,0.6708449794756056
9,139,CAFNet,0.4055685555374668,0.7885497208855956,0.007307270734380708,0.03264957636534021,0.5016218927793495
9,139,CAFNet-D,0.5044088000468293,0.8553475075669357,0.005057471264367817,0.06239337116065081,0.6204507793672108
9,139,CAFNet-DG,0.4749425737963362,0.8553475075669357,0.005004084967320261,0.08474706667336186,0.5827596537556131
9,139,Group-only,0.5003769282568525,0.8579809428223729,0.005556570454268664,0.033663273629139914,0.619344289357519
9,139,Global gate,0.5392938503196907,0.933745776545611,0.007631929560331345,0.04697223441080396,0.6657483808163277
9,139,Drug gate,0.5238259965328134,0.7885497208855956,0.006776456653455424,0.02339121082976645,0.6522403951831366
9,139,Drug-stratum gate,0.5413076444887415,0.8482378089219645,0.012525693730729702,0.03613358645369643,0.6699020925110061
9,148,CAFNet,0.489997806455254,0.7799082337019198,0.029772290922478017,0.07315095974511746,0.6187459829948596
9,148,CAFNet-D,0.5741759875757864,0.914856882358379,0.08264346084241661,0.10259880226864135,0.6974728621752876
9,148,CAFNet-DG,0.5709685979842369,0.9305687780632227,0.074672941244387,0.0987787807727434,0.6901891855453777
9,148,Group-only,0.5961252562771064,0.9216017310213245,0.04070909079396885,0.11142900698523095,0.7163160251504457
9,148,Global gate,0.45276498784814023,0.8603818544462509,0.08692552520391326,0.05930099762929002,0.5512299506714355
9,148,Drug gate,0.5201725519604308,0.9266360779006398,0.09273004042128911,0.06653616368038576,0.625847797311816
