model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate piecewise low=0.4 mid=0.4 high=0.6 temp=1,0.39834254173022476,0.1823449943101981,0.6139790760958725,0.2919102755303649,0.5163555555555556,0.28374713798171103,0.26877238225925293,0.1818805553659512
Gate piecewise low=0.4 mid=0.4 high=0.8 temp=1,0.36634360895761287,0.17454357276941,0.5782492719954364,0.289958031142944,0.4868444444444444,0.2724374984745818,0.2562224046826915,0.17835893478387996
Gate piecewise low=0.4 mid=0.4 high=0.9 temp=1,0.3388933276118068,0.1699311654553193,0.5405009753535771,0.2882851242980901,0.4539555555555556,0.26298904520425087,0.2409044785870252,0.1763747234211719
Gate piecewise low=0.4 mid=0.4 high=1 temp=1,0.30655070330655176,0.1640728535984194,0.4969838309924145,0.2891336118541035,0.41386666666666666,0.2506014364652827,0.22031162021628825,0.16838885681339535
Gate piecewise low=0.4 mid=0.6 high=0.6 temp=1,0.4070766832068584,0.1854340065207843,0.6228459624402958,0.2933243509179177,0.5245333333333334,0.2871725491515577,0.2722197326376557,0.1839556479206829
Gate piecewise low=0.4 mid=0.6 high=0.8 temp=1,0.3914079278186814,0.180828147249687,0.6126791376573063,0.29476224622511604,0.5173333333333333,0.28247323574566185,0.27027632077128955,0.18246065254822003
Gate piecewise low=0.4 mid=0.6 high=0.9 temp=1,0.3745811597569865,0.17635511479818022,0.6001031920552051,0.2930912584935024,0.5037333333333334,0.2797963529246304,0.2638359121016045,0.1830978009117279
Gate piecewise low=0.4 mid=0.6 high=1 temp=1,0.35053201175077764,0.17107914941001207,0.5782712529040827,0.2916745444516293,0.4793777777777778,0.27249673512214356,0.25263940565095827,0.1781569388702939
Gate piecewise low=0.4 mid=0.8 high=0.8 temp=1,0.39449377364915716,0.18171639799632971,0.6149976968349788,0.2942749406618987,0.5206222222222222,0.28357326071886396,0.2719568825013015,0.18256026720313973
Gate piecewise low=0.4 mid=0.8 high=0.9 temp=1,0.38179533313402375,0.17851963699139242,0.6052955377015888,0.2951602668698977,0.5133333333333333,0.2834242897016404,0.26844193600175786,0.18303560325412246
Gate piecewise low=0.4 mid=0.8 high=1 temp=1,0.36271539658692586,0.17401817804071154,0.590774743966414,0.2938825312137715,0.49564444444444444,0.2785119365101223,0.26014175195274014,0.18092746516095665
Gate piecewise low=0.4 mid=0.9 high=0.9 temp=1,0.3816822490423802,0.17843932784295646,0.6055018219568187,0.29522977086115215,0.5134222222222223,0.28342008846588834,0.2683820553277525,0.18261037183968049
Gate piecewise low=0.4 mid=0.9 high=1 temp=1,0.36364034940392653,0.17418567288747244,0.590888029838943,0.293695790381523,0.4965333333333334,0.2788650999227097,0.2605790466784413,0.18085933842053675
Gate piecewise low=0.5 mid=0.6 high=0.6 temp=1,0.4110850359634202,0.18675535466154958,0.6249672209063865,0.2924950345683365,0.5259555555555556,0.2877493208697113,0.2726095377074161,0.1835411579641336
Gate piecewise low=0.5 mid=0.6 high=0.8 temp=1,0.39896422366813583,0.18278329053018952,0.6184514882373157,0.29322799124817056,0.5222222222222221,0.2830751373797449,0.27250214842224424,0.18254008430948918
Gate piecewise low=0.5 mid=0.6 high=0.9 temp=1,0.38414941151536686,0.1783004059853763,0.6078515783575108,0.29273453140752165,0.5116444444444445,0.28118699242583967,0.2675158364950691,0.18334858482381047
Gate piecewise low=0.5 mid=0.6 high=1 temp=1,0.36263341806381216,0.17297547698960627,0.5910463530181009,0.2906852054085065,0.4904,0.2748407638667635,0.25761925091149585,0.1783059038186878
Gate piecewise low=0.5 mid=0.8 high=0.8 temp=1,0.40337953872627214,0.1842833777992764,0.6214051159211024,0.2927106537676182,0.5261333333333333,0.28531014883202793,0.2741895013764557,0.1828642436850098
Gate piecewise low=0.5 mid=0.8 high=0.9 temp=1,0.39357127352974236,0.1813588576127547,0.6156456121937678,0.294312219355302,0.5218666666666666,0.2843994132505056,0.2723459457514759,0.18376277133185318
Gate piecewise low=0.5 mid=0.8 high=1 temp=1,0.3782347893509106,0.1772794513841806,0.6064398787068482,0.293782800648062,0.5095999999999999,0.28233821425797334,0.2662977353079426,0.1814335493574253
Gate piecewise low=0.5 mid=0.9 high=0.9 temp=1,0.39373322786161924,0.181395770141052,0.6159367241665964,0.2942724144795331,0.5218666666666666,0.28429507185341163,0.27244804234769016,0.18393904104232708
Gate piecewise low=0.5 mid=0.9 high=1 temp=1,0.37970424254187296,0.1776594651496244,0.6066507002909054,0.2934780457425665,0.5110222222222222,0.282958061032057,0.26707800188682196,0.18179179081539865
Gate piecewise low=0.6 mid=0.6 high=0.6 temp=1,0.41335370789011744,0.18765531784487702,0.6262305335070516,0.2922971797987522,0.5264888888888889,0.288112855414979,0.2727215657853247,0.1837182538873784
Gate piecewise low=0.6 mid=0.6 high=0.8 temp=1,0.4029478037381623,0.18402011572115348,0.6205494601709355,0.2916945192821675,0.5240888888888889,0.28369715290880265,0.272933379128731,0.18233020522431123
Gate piecewise low=0.6 mid=0.6 high=0.9 temp=1,0.38933412168725917,0.17953424954505703,0.6115704080895531,0.29116318012470827,0.5146666666666667,0.28098202343380185,0.2692331839416035,0.18347333541920033
Gate piecewise low=0.6 mid=0.6 high=1 temp=1,0.369291003609578,0.17406519270240142,0.5958046060212372,0.2887481470490911,0.4947555555555556,0.27538979849760314,0.25978364975427104,0.17901830457263884
Gate piecewise low=0.6 mid=0.8 high=0.8 temp=1,0.40847330579206437,0.18613271340126283,0.6238370605233634,0.2920211270241136,0.5282666666666667,0.2859584715322008,0.2748725788355338,0.18276415968228102
