model,external_AUROC,external_AUPR,external_pos_gt_neg_rate
Gate piecewise low=0.1 mid=0.4 high=0.8 temp=1,0.5173575151908739,0.5197845859211091,0.5230277723285598
Gate piecewise low=0.1 mid=0.4 high=0.9 temp=1,0.5171516167844673,0.519332567140565,0.5230950312473727
Gate piecewise low=0.1 mid=0.4 high=1 temp=1,0.5166747346577292,0.5186141338241147,0.5225177255275621
Gate piecewise low=0.1 mid=0.6 high=0.6 temp=1,0.5159149404509267,0.519437881677842,0.5237956449850069
Gate piecewise low=0.1 mid=0.6 high=0.8 temp=1,0.5163395268661087,0.519901284829105,0.5227475268335061
Gate piecewise low=0.1 mid=0.6 high=0.9 temp=1,0.5162164004270718,0.5196554101618533,0.522809180842418
Gate piecewise low=0.1 mid=0.6 high=1 temp=1,0.5158050480581834,0.5190976610536788,0.5222150603929042
Gate piecewise low=0.1 mid=0.8 high=0.8 temp=1,0.5157226738049037,0.5195946566529772,0.522360788050332
Gate piecewise low=0.1 mid=0.8 high=0.9 temp=1,0.5156692649808285,0.5194306119249772,0.5223776027800353
Gate piecewise low=0.1 mid=0.8 high=1 temp=1,0.5153356807171832,0.5189557463258467,0.521817111789928
Gate piecewise low=0.1 mid=0.9 high=0.9 temp=1,0.515389191482982,0.5191934041446543,0.5224784911582546
Gate piecewise low=0.1 mid=0.9 high=1 temp=1,0.5150829213182777,0.518727614237756,0.5219292099879494
Gate piecewise low=0.2 mid=0.2 high=0.6 temp=1,0.5207386765782024,0.5195000812411574,0.5274332315108035
Gate piecewise low=0.2 mid=0.2 high=0.8 temp=1,0.5210089958709667,0.5189836693145736,0.52647479191772
Gate piecewise low=0.2 mid=0.2 high=0.9 temp=1,0.520954391862646,0.5184449789773761,0.5265756802959393
Gate piecewise low=0.2 mid=0.2 high=1 temp=1,0.5206955094417046,0.5177885096674925,0.5260376089454362
Gate piecewise low=0.2 mid=0.4 high=0.6 temp=1,0.5186595419810661,0.5195952610582665,0.5260263991256341
Gate piecewise low=0.2 mid=0.4 high=0.8 temp=1,0.5190896893251282,0.5199471593801717,0.5250791693523527
Gate piecewise low=0.2 mid=0.4 high=0.9 temp=1,0.519106719090609,0.5197210015038585,0.5251464282711655
Gate piecewise low=0.2 mid=0.4 high=1 temp=1,0.5189277911028796,0.5192424232629579,0.524569122551355
Gate piecewise low=0.2 mid=0.6 high=0.6 temp=1,0.51688850676642,0.5191854029603766,0.5257181290810751
Gate piecewise low=0.2 mid=0.6 high=0.8 temp=1,0.5174903116427528,0.5199905759187315,0.5246700109295743
Gate piecewise low=0.2 mid=0.6 high=0.9 temp=1,0.5175901133756032,0.5200523497977668,0.5247316649384861
Gate piecewise low=0.2 mid=0.6 high=1 temp=1,0.5174767151457236,0.5198280082868494,0.5241375444889723
Gate piecewise low=0.2 mid=0.8 high=0.8 temp=1,0.5166336769609511,0.5197355783026877,0.5243056917860045
Gate piecewise low=0.2 mid=0.8 high=0.9 temp=1,0.5168031963087635,0.5199235855660027,0.5243225065157078
Gate piecewise low=0.2 mid=0.8 high=1 temp=1,0.5167675661841267,0.519838571780194,0.5237620155256004
Gate piecewise low=0.2 mid=0.9 high=0.9 temp=1,0.5164928233431003,0.519745068732125,0.5243673457949164
Gate piecewise low=0.2 mid=0.9 high=1 temp=1,0.5164845073174048,0.5196838823674856,0.5238180646246111
Gate piecewise low=0.3 mid=0.4 high=0.6 temp=1,0.5195012133770734,0.5191260508447664,0.5284981643920074
Gate piecewise low=0.3 mid=0.4 high=0.8 temp=1,0.5200402180676722,0.5194936201117545,0.527550934618726
