drug_local_idx,model,AP,nDCG@10,P@15,R@15
15,debias pop0.02 residual,0.006501833773812488,0.0,0.0,0.0
16,debias pop0.02 residual,0.10522891097413507,0.20641593223508908,0.2,0.21428571428571427
17,debias pop0.02 residual,0.4048076979321445,0.5391870169376467,0.6,0.2727272727272727
18,debias pop0.02 residual,0.40583322227055957,0.5795003533950693,0.4,0.2727272727272727
19,debias pop0.02 residual,0.5769032124386407,0.857980942822373,0.7333333333333333,0.4230769230769231
20,debias pop0.02 residual,0.24708072538235457,0.14201905717762706,0.26666666666666666,0.26666666666666666
21,debias pop0.02 residual,0.5846308311533875,0.9337457765456111,0.8666666666666667,0.14942528735632185
22,debias pop0.02 residual,0.15131371518510747,0.24618570546556087,0.26666666666666666,0.1
23,debias pop0.02 residual,0.3081604420968089,0.4233117951052936,0.4666666666666667,0.11475409836065574
24,debias pop0.02 residual,0.2409969440603684,0.6969383549984333,0.4,0.17142857142857143
25,debias pop0.02 residual,0.37165407314723037,0.6547216238913565,0.6666666666666666,0.1282051282051282
26,debias pop0.02 residual,0.622286249376901,1.0,0.9333333333333333,0.04778156996587031
27,debias pop0.02 residual,0.5484712919658541,1.0,0.7333333333333333,0.2682926829268293
28,debias pop0.02 residual,0.03481082502860698,0.0,0.0,0.0
29,debias pop0.02 residual,0.25931378862485205,0.38196033715832367,0.5333333333333333,0.16
30,debias pop0.02 residual,0.5407338795663601,0.6835381846158709,0.5333333333333333,0.5
31,debias pop0.02 residual,0.3470755537151984,0.6015720654566381,0.6,0.36
32,debias pop0.02 residual,0.26502198356989703,0.6051399156371956,0.3333333333333333,0.19230769230769232
33,debias pop0.02 residual,0.19035635716851876,0.2090493674905264,0.26666666666666666,0.25
34,debias pop0.02 residual,0.4545944714600411,0.7151857987862358,0.7333333333333333,0.2682926829268293
35,debias pop0.02 residual,0.06003463505558869,0.06794340091829076,0.06666666666666667,0.1111111111111111
36,debias pop0.02 residual,0.3265159175969816,0.77990823370192,0.8,0.19047619047619047
37,debias pop0.02 residual,0.3234225796899891,0.3936948167222716,0.26666666666666666,0.6666666666666666
38,debias pop0.02 residual,0.47200154384455245,0.9363792118010483,0.7333333333333333,0.19642857142857142
39,debias pop0.02 residual,0.3751666960670555,0.7720617383222419,0.6666666666666666,0.12195121951219512
40,debias pop0.02 residual,0.6393548432350952,0.9363792118010483,0.9333333333333333,0.3333333333333333
41,debias pop0.02 residual,0.024905991211002208,0.0,0.0,0.0
42,debias pop0.02 residual,0.41347017054257484,0.77990823370192,0.8,0.061855670103092786
43,debias pop0.02 residual,0.5756235501108429,0.713654010247531,0.8,0.5
44,debias pop0.02 residual,0.07841930527533084,0.2200917662980802,0.06666666666666667,0.034482758620689655
45,debias pop0.02 residual,0.7544444444444445,0.888111130388384,0.3333333333333333,1.0
46,debias pop0.02 residual,0.14778329657361916,0.18065894665528784,0.13333333333333333,0.2857142857142857
47,debias pop0.02 residual,0.6158845782186915,0.92663607790064,0.8666666666666667,0.34210526315789475
48,debias pop0.02 residual,0.39717658498861025,0.8263333286520084,0.7333333333333333,0.3235294117647059
49,debias pop0.02 residual,0.3030271873668874,0.5388856921828066,0.26666666666666666,0.23529411764705882
50,debias pop0.02 residual,0.536376035123558,0.7007731679885375,0.4666666666666667,0.5384615384615384
51,debias pop0.02 residual,0.5243667690787649,0.6835381846158709,0.4666666666666667,0.25925925925925924
52,debias pop0.02 residual,0.22180722346032442,0.2394408568026152,0.3333333333333333,0.08064516129032258
53,debias pop0.02 residual,0.25219033667890367,0.39172239294569766,0.26666666666666666,0.4444444444444444
54,debias pop0.02 residual,0.4112552801741207,0.8115558478722846,0.6666666666666666,0.35714285714285715
55,debias pop0.02 residual,0.33372963652592463,0.8553475075669357,0.6,0.2903225806451613
56,debias pop0.02 residual,0.28716861233161944,0.37566986542073244,0.3333333333333333,0.29411764705882354
57,debias pop0.02 residual,0.5792342202272199,0.9363792118010483,0.9333333333333333,0.050724637681159424
58,debias pop0.02 residual,0.46049967218415166,0.5835002129716239,0.26666666666666666,0.5
59,debias pop0.02 residual,0.4965341253458282,0.7753366239771086,0.6666666666666666,0.45454545454545453
60,debias pop0.02 residual,0.13760110176468474,0.35895421017163476,0.2,0.15
61,debias pop0.02 residual,0.4779151328000965,0.7097402150304355,0.5333333333333333,0.2222222222222222
62,debias pop0.02 residual,0.5619701299858225,0.9337457765456111,0.7333333333333333,0.34375
63,debias pop0.02 residual,0.5860308975035308,0.8701249883466594,0.6666666666666666,0.5
64,debias pop0.02 residual,0.3607744007578535,0.4220949603708208,0.4,0.1935483870967742
65,debias pop0.02 residual,0.48451816468414594,0.7975167679274939,0.6,0.2903225806451613
66,debias pop0.02 residual,0.4078702355887118,0.5214682725103094,0.2,0.375
67,debias pop0.02 residual,0.5174798028619777,0.5637884576902257,0.4,0.6
68,debias pop0.02 residual,0.47745168328373727,0.9363792118010483,0.8666666666666667,0.12745098039215685
69,debias pop0.02 residual,0.3381583811706523,0.7151857987862358,0.6,0.11538461538461539
70,debias pop0.02 residual,0.8318679899645809,0.8553475075669357,0.6666666666666666,0.9090909090909091
71,debias pop0.02 residual,0.4592069189999993,1.0,1.0,0.25862068965517243
72,debias pop0.02 residual,0.3641738672761846,0.713654010247531,0.7333333333333333,0.18032786885245902
73,debias pop0.02 residual,0.21366170689588487,0.2082732806320161,0.3333333333333333,0.29411764705882354
74,debias pop0.02 residual,0.15134948490330144,0.2200917662980802,0.06666666666666667,0.06666666666666667
75,debias pop0.02 residual,0.5038470730080635,0.713654010247531,0.6,0.5294117647058824
