drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
143,matched-BPR pop0.05 no-res,0.5974437869822484,0.6178185365301254,0.6615384615384615,0.4748352197700968
143,matched-BPR pop0.10 no-res,0.5760473372781065,0.6102363686998743,0.6,0.37929256406541056
143,matched-BPR pop0.05 residual,0.5876923076923077,0.6149261082435996,0.6338461538461538,0.39756161028949116
143,Global popularity,0.5107692307692309,0.5752370948564975,0.46153846153846156,0.03548717948717948
144,CAFNet,0.5585872576177285,0.5879587030065092,0.5947368421052631,0.22068822599555316
144,CAFNet-D full,0.4909972299168974,0.5873481749252719,0.5157894736842106,-0.09808477177039569
144,debias pop0.02 no-res,0.5411357340720221,0.5878078643323926,0.6,0.18856394825944384
144,debias pop0.05 no-res,0.5225761772853186,0.5738494435814953,0.5263157894736842,0.16735317401195826
144,debias pop0.02 residual,0.5657894736842105,0.583279657629679,0.6210526315789474,0.33818596574281784
144,debias weighted rb1.5,0.6073407202216067,0.6013362339543709,0.6736842105263158,0.39286242022032014
144,debias weighted rb2.0,0.5657894736842105,0.5925413979113536,0.6263157894736842,0.17098083127179722
144,matched-BPR pop0.05 no-res,0.5767313019390582,0.6001351299146593,0.631578947368421,0.3649256428409564
144,matched-BPR pop0.10 no-res,0.49238227146814406,0.5620967919545857,0.5052631578947369,0.07704808560052985
144,matched-BPR pop0.05 residual,0.5786703601108032,0.6023620982115625,0.6684210526315789,0.3097308307101852
144,Global popularity,0.5291551246537396,0.5840497420988182,0.5368421052631579,0.03764522417153996
145,CAFNet,0.8421875,0.8553872092480899,0.8375,1.1019183570519089
145,CAFNet-D full,0.8429687499999999,0.8709227434094682,0.85,0.7641446763649583
145,debias pop0.02 no-res,0.91015625,0.930220926528852,0.9,0.7883658491075038
145,debias pop0.05 no-res,0.8859374999999999,0.9000986395603677,0.9125,0.7575936222448945
145,debias pop0.02 residual,0.9343750000000001,0.9449063648244962,0.925,0.7603063917718828
145,debias weighted rb1.5,0.9203125,0.926018851012367,0.925,0.5354731352068484
145,debias weighted rb2.0,0.8882812499999999,0.9111064606323132,0.875,0.5566519802901894
145,matched-BPR pop0.05 no-res,0.9070312500000001,0.9279843477704426,0.9,0.9727893244009465
145,matched-BPR pop0.10 no-res,0.8953125,0.9109953653252776,0.9125,0.9485972544178367
145,matched-BPR pop0.05 residual,0.89921875,0.9124559253588671,0.9,0.8193965035956353
145,Global popularity,0.85390625,0.8898287707307873,0.875,0.22962962962962968
146,CAFNet,0.46836734693877546,0.5132911555229582,0.45714285714285713,-0.11485318860837394
146,CAFNet-D full,0.5857142857142856,0.596567917207076,0.6,0.46922469999907274
146,debias pop0.02 no-res,0.5867346938775511,0.6078004294803697,0.6142857142857143,0.21780722705381259
146,debias pop0.05 no-res,0.6285714285714286,0.6306177430391907,0.7142857142857143,0.38178231425117704
146,debias pop0.02 residual,0.5714285714285714,0.5979524122990681,0.5285714285714286,0.2375833379503871
146,debias weighted rb1.5,0.533673469387755,0.5795849152098007,0.4857142857142857,0.10918905385104673
146,debias weighted rb2.0,0.5581632653061225,0.5959829788090969,0.5428571428571428,0.1459176190330514
146,matched-BPR pop0.05 no-res,0.6010204081632653,0.6235939692417333,0.6142857142857143,0.2912979193563972
