drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
35,debias pop0.02 no-res,frequent,0.04049083426692205,0.0,0.0,0.0
36,debias pop0.02 no-res,rare,0.012873871930080034,0.0,0.0,0.0
36,debias pop0.02 no-res,middle,0.02180353804987125,0.0,0.0,0.0
36,debias pop0.02 no-res,frequent,0.41339202841205364,0.6371130896657825,0.7333333333333333,0.24444444444444444
37,debias pop0.02 no-res,rare,0.015151515151515152,0.0,0.0,0.0
37,debias pop0.02 no-res,middle,,,,
37,debias pop0.02 no-res,frequent,0.3365893365893366,0.3391602052736161,0.2,0.6
38,debias pop0.02 no-res,rare,0.010596546310832025,0.0,0.0,0.0
38,debias pop0.02 no-res,middle,0.07655644091254228,0.0,0.0,0.0
38,debias pop0.02 no-res,frequent,0.6289691718563505,1.0,0.8666666666666667,0.3170731707317073
39,debias pop0.02 no-res,rare,0.011396683451342185,0.0,0.0,0.0
39,debias pop0.02 no-res,middle,0.09771258131773845,0.06943122193677728,0.13333333333333333,0.09090909090909091
39,debias pop0.02 no-res,frequent,0.46384824349695963,0.6083169141195839,0.6,0.16071428571428573
40,debias pop0.02 no-res,rare,,,,
40,debias pop0.02 no-res,middle,0.033291030581493006,0.0,0.0,0.0
40,debias pop0.02 no-res,frequent,0.5908162825484062,0.8572048559638626,0.7333333333333333,0.28205128205128205
41,debias pop0.02 no-res,rare,0.01614114114114114,0.0,0.0,0.0
41,debias pop0.02 no-res,middle,0.16666666666666666,0.3562071871080222,0.06666666666666667,1.0
41,debias pop0.02 no-res,frequent,0.04711765148197786,0.0,0.06666666666666667,0.25
42,debias pop0.02 no-res,rare,0.042573975501500314,0.0,0.0,0.0
42,debias pop0.02 no-res,middle,0.1984592117698075,0.22400556151517556,0.13333333333333333,0.03076923076923077
42,debias pop0.02 no-res,frequent,0.5931335891391938,0.77990823370192,0.8,0.12121212121212122
43,debias pop0.02 no-res,rare,,,,
43,debias pop0.02 no-res,middle,0.02364963503649635,0.0,0.0,0.0
43,debias pop0.02 no-res,frequent,0.5734398230757948,0.7948833326720566,0.6666666666666666,0.45454545454545453
44,debias pop0.02 no-res,rare,0.0035714285714285713,0.0,0.0,0.0
44,debias pop0.02 no-res,middle,0.0480980154642074,0.0,0.0,0.0
44,debias pop0.02 no-res,frequent,0.1286383164927557,0.2200917662980802,0.06666666666666667,0.07142857142857142
45,debias pop0.02 no-res,rare,,,,
45,debias pop0.02 no-res,middle,,,,
45,debias pop0.02 no-res,frequent,0.7544444444444445,0.888111130388384,0.3333333333333333,1.0
46,debias pop0.02 no-res,rare,,,,
46,debias pop0.02 no-res,middle,,,,
46,debias pop0.02 no-res,frequent,0.1429146874665043,0.18065894665528784,0.13333333333333333,0.2857142857142857
47,debias pop0.02 no-res,rare,0.030043859649122807,0.0,0.0,0.0
47,debias pop0.02 no-res,middle,0.0233265888974929,0.0,0.0,0.0
47,debias pop0.02 no-res,frequent,0.631937577733654,0.8603818544462509,0.8666666666666667,0.3939393939393939
48,debias pop0.02 no-res,rare,0.007817681935787666,0.0,0.0,0.0
48,debias pop0.02 no-res,middle,0.01491689516727209,0.0,0.0,0.0
48,debias pop0.02 no-res,frequent,0.5778482928471443,0.8486026589039901,0.7333333333333333,0.44
49,debias pop0.02 no-res,rare,,,,
49,debias pop0.02 no-res,middle,0.013406743584533013,0.0,0.0,0.0
49,debias pop0.02 no-res,frequent,0.404793568889334,0.5388856921828066,0.3333333333333333,0.38461538461538464
50,debias pop0.02 no-res,rare,0.008849557522123894,0.0,0.0,0.0
50,debias pop0.02 no-res,middle,,,,
50,debias pop0.02 no-res,frequent,0.5966817279478115,0.7720617383222419,0.4666666666666667,0.5833333333333334
51,debias pop0.02 no-res,rare,,,,
51,debias pop0.02 no-res,middle,0.06971153846153846,0.0,0.0,0.0
51,debias pop0.02 no-res,frequent,0.5411773351276223,0.6457545768494585,0.4666666666666667,0.28
52,debias pop0.02 no-res,rare,0.023081997641076227,0.0,0.0,0.0
52,debias pop0.02 no-res,middle,0.052269988093408395,0.0,0.0,0.0
52,debias pop0.02 no-res,frequent,0.3088967044050996,0.3030616450015669,0.26666666666666666,0.1
53,debias pop0.02 no-res,rare,,,,
53,debias pop0.02 no-res,middle,0.0035842293906810036,0.0,0.0,0.0
53,debias pop0.02 no-res,frequent,0.27500367836386375,0.4137978585955979,0.26666666666666666,0.5
54,debias pop0.02 no-res,rare,0.05473133722336971,0.11751610475642714,0.06666666666666667,0.25
54,debias pop0.02 no-res,middle,0.3663810689514484,0.46927872602275644,0.06666666666666667,0.3333333333333333
54,debias pop0.02 no-res,frequent,0.5318372981332132,0.747935059673333,0.6666666666666666,0.47619047619047616
55,debias pop0.02 no-res,rare,0.0276600078774492,0.0,0.0,0.0
55,debias pop0.02 no-res,middle,0.04684478894606098,0.0,0.0,0.0
55,debias pop0.02 no-res,frequent,0.5592521842925304,0.8553475075669357,0.6,0.5294117647058824
56,debias pop0.02 no-res,rare,,,,
56,debias pop0.02 no-res,middle,,,,
56,debias pop0.02 no-res,frequent,0.28347773807525356,0.36933625363427175,0.3333333333333333,0.29411764705882354
57,debias pop0.02 no-res,rare,0.16340980728897447,0.2200917662980802,0.06666666666666667,0.02040816326530612
